#,Name,Type 1;Type 2,HP,Attack,Defense,Generation
1,Bulbasaur,Grass;Poison,45,49,49,1
470,Leafeon,Grass;,65,110,130,4
140,Kabuto,Rock;Water,30,80,90,1
2,Ivysaur,Grass;Poison,60,62,63,1
3,Venusaur,Grass;Poison,80,82,83,1
4,Charmander,Fire;,39,52,43,1
5,Charmeleon,Fire;,58,64,58,1
6,Charizard,Fire;Flying,78,84,78,1
462,Magnezone,Electric;Steel,70,70,115,4
7,Squirtle,Water;,44,48,65,1
241,Miltank,Normal;,95,80,105,2
519,Pidove,Normal;Flying,50,55,50,5
302,Sableye,Dark;Ghost,50,75,75,3
389,Torterra,Grass;Ground,95,109,105,4
570,Zorua,Dark;,40,65,40,5
8,Wartortle,Water;,59,63,80,1
46,Paras,Bug;Grass,35,70,55,1
9,Blastoise,Water;,79,83,100,1
10,Caterpie,Bug;,45,30,35,1
555,DarmanitanZen Mode,Fire;Psychic,105,30,105,5
11,Metapod,Bug;,50,20,55,1
12,Butterfree,Bug;Flying,60,45,50,1
41,Zubat,Poison;Flying,40,45,35,1
13,Weedle,Bug;Poison,40,35,30,1
14,Kakuna,Bug;Poison,45,25,50,1
15,Beedrill,Bug;Poison,65,90,40,1
384,Rayquaza,Dragon;Flying,105,150,90,3
394,Prinplup,Water;,64,66,68,4
548,Petilil,Grass;,45,35,50,5
16,Pidgey,Normal;Flying,40,45,40,1
17,Pidgeotto,Normal;Flying,63,60,55,1
431,Glameow,Normal;,49,55,42,4
174,Igglybuff,Normal;Fairy,90,30,15,2
18,Pidgeot,Normal;Flying,83,80,75,1
371,Bagon,Dragon;,45,75,60,3
279,Pelipper,Water;Flying,60,50,100,3
440,Happiny,Normal;,100,5,5,4
19,Rattata,Normal;,30,56,35,1
370,Luvdisc,Water;,43,30,55,3
20,Raticate,Normal;,55,81,60,1
21,Spearow,Normal;Flying,40,60,30,1
22,Fearow,Normal;Flying,65,90,65,1
23,Ekans,Poison;,35,60,44,1
404,Luxio,Electric;,60,85,49,4
548,Petilil,Grass;,45,35,50,5
24,Arbok,Poison;,60,85,69,1
25,Pikachu,Electric;,35,55,40,1
26,Raichu,Electric;,60,90,55,1
27,Sandshrew,Ground;,50,75,85,1
28,Sandslash,Ground;,75,100,110,1
29,Nidoran♀,Poison;,55,47,52,1
30,Nidorina,Poison;,70,62,67,1
296,Makuhita,Fighting;,72,60,30,3
157,Typhlosion,Fire;,78,84,78,2
31,Nidoqueen,Poison;Ground,90,92,87,1
32,Nidoran♂,Poison;,46,57,40,1
33,Nidorino,Poison;,61,72,57,1
34,Nidoking,Poison;Ground,81,102,77,1
416,Vespiquen,Bug;Flying,70,80,102,4
35,Clefairy,Fairy;,70,45,48,1
36,Clefable,Fairy;,95,70,73,1
37,Vulpix,Fire;,38,41,40,1
38,Ninetales,Fire;,73,76,75,1
373,Salamence,Dragon;Flying,95,135,80,3
370,Luvdisc,Water;,43,30,55,3
39,Jigglypuff,Normal;Fairy,115,45,20,1
40,Wigglytuff,Normal;Fairy,140,70,45,1
41,Zubat,Poison;Flying,40,45,35,1
42,Golbat,Poison;Flying,75,80,70,1
43,Oddish,Grass;Poison,45,50,55,1
44,Gloom,Grass;Poison,60,65,70,1
45,Vileplume,Grass;Poison,75,80,85,1
46,Paras,Bug;Grass,35,70,55,1
237,Hitmontop,Fighting;,50,95,95,2
47,Parasect,Bug;Grass,60,95,80,1
48,Venonat,Bug;Poison,60,55,50,1
49,Venomoth,Bug;Poison,70,65,60,1
94,Gengar,Ghost;Poison,60,65,60,1
285,Shroomish,Grass;,60,40,60,3
50,Diglett,Ground;,10,55,25,1
234,Stantler,Normal;,73,95,62,2
51,Dugtrio,Ground;,35,80,50,1
52,Meowth,Normal;,40,45,35,1
316,Gulpin,Poison;,70,43,53,3
53,Persian,Normal;,65,70,60,1
54,Psyduck,Water;,50,52,48,1
55,Golduck,Water;,80,82,78,1
56,Mankey,Fighting;,40,80,35,1
183,Marill,Water;Fairy,70,20,50,2
